title,rating,url
"Lentil, Apple, and Turkey Wrap ",2.5,https://www.epicurious.com/search?q=Lentil%2C+Apple%2C+and+Turkey+Wrap
Boudin Blanc Terrine with Red Onion Confit ,4.375,https://www.epicurious.com/search?q=Boudin+Blanc+Terrine+with+Red+Onion+Confit
Potato and Fennel Soup Hodge ,3.75,https://www.epicurious.com/search?q=Potato+and+Fennel+Soup+Hodge
Mahi-Mahi in Tomato Olive Sauce ,5.0,https://www.epicurious.com/search?q=Mahi-Mahi+in+Tomato+Olive+Sauce
Spinach Noodle Casserole ,3.125,https://www.epicurious.com/search?q=Spinach+Noodle+Casserole
The Best Blts ,4.375,https://www.epicurious.com/search?q=The+Best+Blts
Ham and Spring Vegetable Salad with Shallot Vinaigrette ,4.375,https://www.epicurious.com/search?q=Ham+and+Spring+Vegetable+Salad+with+Shallot+Vinaigrette
Spicy-Sweet Kumquats ,3.75,https://www.epicurious.com/search?q=Spicy-Sweet+Kumquats
Korean Marinated Beef ,4.375,https://www.epicurious.com/search?q=Korean+Marinated+Beef
Ham Persillade with Mustard Potato Salad and Mashed Peas ,3.75,https://www.epicurious.com/search?q=Ham+Persillade+with+Mustard+Potato+Salad+and+Mashed+Peas
"Yams Braised with Cream, Rosemary and Nutmeg ",3.75,https://www.epicurious.com/search?q=Yams+Braised+with+Cream%2C+Rosemary+and+Nutmeg
Spicy Noodle Soup ,4.375,https://www.epicurious.com/search?q=Spicy+Noodle+Soup
Banana-Chocolate Chip Cake With Peanut Butter Frosting ,4.375,https://www.epicurious.com/search?q=Banana-Chocolate+Chip+Cake+With+Peanut+Butter+Frosting
Beef Tenderloin with Garlic and Brandy ,4.375,https://www.epicurious.com/search?q=Beef+Tenderloin+with+Garlic+and+Brandy
Peach Mustard ,3.125,https://www.epicurious.com/search?q=Peach+Mustard
Raw Cream of Spinach Soup ,4.375,https://www.epicurious.com/search?q=Raw+Cream+of+Spinach+Soup
Sweet Buttermilk Spoon Breads ,1.875,https://www.epicurious.com/search?q=Sweet+Buttermilk+Spoon+Breads
Crisp Braised Pork Shoulder ,4.375,https://www.epicurious.com/search?q=Crisp+Braised+Pork+Shoulder
Mozzarella-Topped Peppers with Tomatoes and Garlic ,5.0,https://www.epicurious.com/search?q=Mozzarella-Topped+Peppers+with+Tomatoes+and+Garlic
"Tuna, Asparagus, and New Potato Salad with Chive Vinaigrette and Fried Capers ",5.0,https://www.epicurious.com/search?q=Tuna%2C+Asparagus%2C+and+New+Potato+Salad+with+Chive+Vinaigrette+and+Fried+Capers
Asian Pear and Watercress Salad with Sesame Dressing ,4.375,https://www.epicurious.com/search?q=Asian+Pear+and+Watercress+Salad+with+Sesame+Dressing
"""Fried"" Chicken ",3.75,https://www.epicurious.com/search?q=%22Fried%22+Chicken
Fish Fillets in Parchment with Asparagus and Orange ,3.75,https://www.epicurious.com/search?q=Fish+Fillets+in+Parchment+with+Asparagus+and+Orange
Pancetta and Taleggio Lasagna with Treviso ,3.75,https://www.epicurious.com/search?q=Pancetta+and+Taleggio+Lasagna+with+Treviso
Sea Salt-Roasted Pecans ,3.75,https://www.epicurious.com/search?q=Sea+Salt-Roasted+Pecans
Garlic Baguette Crumbs ,0.0,https://www.epicurious.com/search?q=Garlic+Baguette+Crumbs
Cucumber-Basil Egg Salad ,3.75,https://www.epicurious.com/search?q=Cucumber-Basil+Egg+Salad
Dried Pear Crisps ,2.5,https://www.epicurious.com/search?q=Dried+Pear+Crisps
"Green Bean, Red Onion, and Roast Potato Salad with Rosemary Vinaigrette ",4.375,https://www.epicurious.com/search?q=Green+Bean%2C+Red+Onion%2C+and+Roast+Potato+Salad+with+Rosemary+Vinaigrette
Apricot-Cherry Shortcakes ,4.375,https://www.epicurious.com/search?q=Apricot-Cherry+Shortcakes
Asian Steak Topped with Bell Pepper Stir-Fry ,4.375,https://www.epicurious.com/search?q=Asian+Steak+Topped+with+Bell+Pepper+Stir-Fry
Moroccan-Style Preserved Lemons ,5.0,https://www.epicurious.com/search?q=Moroccan-Style+Preserved+Lemons
Roasted Sweet-Potato Spears with Bacon Vinaigrette ,4.375,https://www.epicurious.com/search?q=Roasted+Sweet-Potato+Spears+with+Bacon+Vinaigrette
Deviled Ham ,3.125,https://www.epicurious.com/search?q=Deviled+Ham
Fontina Mac with Squash and Sage ,5.0,https://www.epicurious.com/search?q=Fontina+Mac+with+Squash+and+Sage
Aztec Chicken ,3.75,https://www.epicurious.com/search?q=Aztec+Chicken
Pastry Twists with Spiced Sugar-Honey Glaze ,0.0,https://www.epicurious.com/search?q=Pastry+Twists+with+Spiced+Sugar-Honey+Glaze
Sauteed Broccoli Rabe ,4.375,https://www.epicurious.com/search?q=Sauteed+Broccoli+Rabe
Grouper with Tomato and Basil ,4.375,https://www.epicurious.com/search?q=Grouper+with+Tomato+and+Basil
Better-Than-Pita Grill Bread ,2.5,https://www.epicurious.com/search?q=Better-Than-Pita+Grill+Bread
Coconut-Key Lime Sheet Cake ,4.375,https://www.epicurious.com/search?q=Coconut-Key+Lime+Sheet+Cake
"Baked Halibut with Orzo, Spinach, and Cherry Tomatoes ",4.375,https://www.epicurious.com/search?q=Baked+Halibut+with+Orzo%2C+Spinach%2C+and+Cherry+Tomatoes
Honey Rye ,0.0,https://www.epicurious.com/search?q=Honey+Rye
Purple-Potato and Crab Gratin ,3.75,https://www.epicurious.com/search?q=Purple-Potato+and+Crab+Gratin
"Grilled Beef, Jícama, and Apple Salad ",4.375,https://www.epicurious.com/search?q=Grilled+Beef%2C+J%C3%ADcama%2C+and+Apple+Salad
Pickled Red Onions ,4.375,https://www.epicurious.com/search?q=Pickled+Red+Onions
Spicy Black Beans and Rice ,3.75,https://www.epicurious.com/search?q=Spicy+Black+Beans+and+Rice
Herbed Goat Cheese Spread with Mint ,4.375,https://www.epicurious.com/search?q=Herbed+Goat+Cheese+Spread+with+Mint
Mexican Lime Soup ,4.375,https://www.epicurious.com/search?q=Mexican+Lime+Soup
Citrus Salad with Mint Sugar ,4.375,https://www.epicurious.com/search?q=Citrus+Salad+with+Mint+Sugar
Mexican Chile and Mushroom Soup ,3.125,https://www.epicurious.com/search?q=Mexican+Chile+and+Mushroom+Soup
Peanut Butter-Banana Muffins ,3.75,https://www.epicurious.com/search?q=Peanut+Butter-Banana+Muffins
Braised Chicken With Artichokes and Olives ,4.375,https://www.epicurious.com/search?q=Braised+Chicken+With+Artichokes+and+Olives
Pancetta Roast Chicken with Walnut Stuffing ,5.0,https://www.epicurious.com/search?q=Pancetta+Roast+Chicken+with+Walnut+Stuffing
1977 Coconut Angel Food Cake ,3.75,https://www.epicurious.com/search?q=1977+Coconut+Angel+Food+Cake
Collard-and-Prosciutto Chicken Roulades Over Watercress Salad ,5.0,https://www.epicurious.com/search?q=Collard-and-Prosciutto+Chicken+Roulades+Over+Watercress+Salad
Veal Burgers Stuffed with Mozzarella Cheese ,4.375,https://www.epicurious.com/search?q=Veal+Burgers+Stuffed+with+Mozzarella+Cheese
Pumpkin Muffins ,4.375,https://www.epicurious.com/search?q=Pumpkin+Muffins
Orange Balsamic Glaze ,3.75,https://www.epicurious.com/search?q=Orange+Balsamic+Glaze
Roasted Eggplant and Olive Spread with Pita Bread Chips ,3.75,https://www.epicurious.com/search?q=Roasted+Eggplant+and+Olive+Spread+with+Pita+Bread+Chips
Pecan Blue Cheese Crackers ,3.75,https://www.epicurious.com/search?q=Pecan+Blue+Cheese+Crackers
"Romaine, Grilled Avocado, and Smoky Corn Salad with Chipotle-Caesar Dressing ",4.375,https://www.epicurious.com/search?q=Romaine%2C+Grilled+Avocado%2C+and+Smoky+Corn+Salad+with+Chipotle-Caesar+Dressing
Southwest Corn Bread Stuffing with Corn and Green Chilies ,5.0,https://www.epicurious.com/search?q=Southwest+Corn+Bread+Stuffing+with+Corn+and+Green+Chilies
Colin Perry’s Sorghum and Apple Sticky Pudding ,0.0,https://www.epicurious.com/search?q=Colin+Perry%E2%80%99s+Sorghum+and+Apple+Sticky+Pudding
Mixed Berry Pavlovas ,3.75,https://www.epicurious.com/search?q=Mixed+Berry+Pavlovas
Orange-Almond Cake with Chocolate Icing ,4.375,https://www.epicurious.com/search?q=Orange-Almond+Cake+with+Chocolate+Icing
Scarborough Fair Tofu Burger ,3.125,https://www.epicurious.com/search?q=Scarborough+Fair+Tofu+Burger
Italian Vinaigrette ,3.75,https://www.epicurious.com/search?q=Italian+Vinaigrette
White Chocolate Tartlets with Strawberries and Bananas ,4.375,https://www.epicurious.com/search?q=White+Chocolate+Tartlets+with+Strawberries+and+Bananas
Tomato-Infused Bulgur Pilaf with Fresh Basil ,0.0,https://www.epicurious.com/search?q=Tomato-Infused+Bulgur+Pilaf+with+Fresh+Basil
"Roasted Butternut Squash, Rosemary, and Garlic Lasagne ",4.375,https://www.epicurious.com/search?q=Roasted+Butternut+Squash%2C+Rosemary%2C+and+Garlic+Lasagne
Grilled Roast Beef and Stilton Sandwich ,4.375,https://www.epicurious.com/search?q=Grilled+Roast+Beef+and+Stilton+Sandwich
Pear-Hazelnut Cheesecakes with Pear-Raspberry Sauce ,3.75,https://www.epicurious.com/search?q=Pear-Hazelnut+Cheesecakes+with+Pear-Raspberry+Sauce
Nut Butter ,3.75,https://www.epicurious.com/search?q=Nut+Butter
